review_id,product_name,skin_type,rating,review_text,review_date,sentiment
61,Tea Tree Toner,Dry,5,I have been using this Tea Tree Toner for a few weeks and my skin feels smoother.,2023-05-06,Negative
62,Retinol Night Cream,Normal,4,This Retinol Night Cream feels lightweight and keeps my skin hydrated.,2021-11-27,Positive
63,Retinol Night Cream,Oily,5,The texture of this Retinol Night Cream is nice and my skin looks healthier.,2022-02-26,Positive
64,Retinol Night Cream,Sensitive,3,The Retinol Night Cream works fine but nothing very noticeable yet.,2021-02-07,Neutral
65,Retinol Night Cream,Oily,4,This Retinol Night Cream feels lightweight and keeps my skin hydrated.,2022-05-19,Positive
66,Niacinamide Serum,Oily,3,The Niacinamide Serum feels decent but I expected more improvement.,2024-01-24,Neutral
67,Charcoal Face Wash,Normal,4,This Charcoal Face Wash works well for my Normal skin and absorbs quickly.,2021-10-14,Positive
68,Charcoal Face Wash,Combination,1,This Charcoal Face Wash did not work well for my Combination skin.,2022-06-08,Negative
69,Charcoal Face Wash,Dry,5,After regular use this Charcoal Face Wash improved my skin condition.,2022-08-24,Positive
70,Vitamin C Serum,Sensitive,5,The texture of this Vitamin C Serum is nice and my skin looks healthier.,2022-11-05,Neutral
71,Anti-Aging Eye Cream,Combination,4,The texture of this Anti-Aging Eye Cream is nice and my skin looks healthier.,2021-01-03,Positive
72,Aloe Vera Moisturizer,Sensitive,4,The texture of this Aloe Vera Moisturizer is nice and my skin looks healthier.,2021-01-11,Positive
73,Hydrating Face Cream,Combination,2,This Hydrating Face Cream did not work well for my Combination skin.,2023-03-18,Negative
74,Vitamin C Serum,Combination,4,This Vitamin C Serum works well for my Combination skin and absorbs quickly.,2023-12-20,Positive
75,Acne Control Gel,Normal,5,The texture of this Acne Control Gel is nice and my skin looks healthier.,2021-10-24,Positive
76,Vitamin C Serum,Normal,3,This Vitamin C Serum seems fine for daily use so far.,2023-12-09,Neutral
77,Anti-Aging Eye Cream,Normal,1,After using this Anti-Aging Eye Cream my skin started feeling irritated.,2021-03-27,Negative
78,Acne Control Gel,Combination,2,The texture of this Acne Control Gel felt heavy and uncomfortable.,2021-02-08,Negative
79,Anti-Aging Eye Cream,Dry,3,This Anti-Aging Eye Cream is okay but I am still unsure about the results.,2021-05-24,Neutral
80,Anti-Aging Eye Cream,Normal,4,This Anti-Aging Eye Cream feels lightweight and keeps my skin hydrated.,2023-08-29,Positive
81,Retinol Night Cream,Oily,1,This Retinol Night Cream did not work well for my Oily skin.,2023-08-01,Negative
82,Niacinamide Serum,Sensitive,4,The texture of this Niacinamide Serum is nice and my skin looks healthier.,2022-02-11,Positive
83,Hydrating Face Cream,Normal,5,The texture of this Hydrating Face Cream is nice and my skin looks healthier.,2021-10-01,Positive
84,Vitamin C Serum,Sensitive,4,The texture of this Vitamin C Serum is nice and my skin looks healthier.,2023-09-30,Positive
85,Retinol Night Cream,Normal,5,After regular use this Retinol Night Cream improved my skin condition.,2024-01-30,Positive
86,Sunscreen SPF50,Combination,1,The texture of this Sunscreen SPF50 felt heavy and uncomfortable.,2021-06-06,Negative
87,Anti-Aging Eye Cream,Sensitive,1,The texture of this Anti-Aging Eye Cream felt heavy and uncomfortable.,2022-03-08,Negative
88,Hydrating Face Cream,Normal,5,This Hydrating Face Cream feels lightweight and keeps my skin hydrated.,2021-09-29,Positive
89,Tea Tree Toner,Normal,5,I have been using this Tea Tree Toner for a few weeks and my skin feels smoother.,2023-09-23,Positive
90,Charcoal Face Wash,Oily,5,After regular use this Charcoal Face Wash improved my skin condition.,2021-10-16,Positive
91,Charcoal Face Wash,Combination,5,I have been using this Charcoal Face Wash for a few weeks and my skin feels smoother.,2023-03-27,Neutral
92,Hydrating Face Cream,Dry,2,I expected better results from this Hydrating Face Cream.,2023-03-16,Negative
93,Charcoal Face Wash,Normal,5,After regular use this Charcoal Face Wash improved my skin condition.,2022-07-29,Positive
94,Hydrating Face Cream,Oily,1,I expected better results from this Hydrating Face Cream.,2022-06-29,Negative
95,Charcoal Face Wash,Normal,5,The texture of this Charcoal Face Wash is nice and my skin looks healthier.,2023-03-31,Positive
96,Anti-Aging Eye Cream,Normal,4,I have been using this Anti-Aging Eye Cream for a few weeks and my skin feels smoother.,2023-04-22,Positive
97,Niacinamide Serum,Normal,2,I expected better results from this Niacinamide Serum.,2021-09-18,Negative
98,Acne Control Gel,Sensitive,3,I tried this Acne Control Gel for a few days and results are average.,2022-06-17,Neutral
99,Charcoal Face Wash,Dry,5,This Charcoal Face Wash feels lightweight and keeps my skin hydrated.,2021-11-28,Positive
100,Hydrating Face Cream,Dry,3,The Hydrating Face Cream feels decent but I expected more improvement.,2023-07-17,Neutral
101,Aloe Vera Moisturizer,Sensitive,3,This Aloe Vera Moisturizer seems fine for daily use so far.,2021-07-05,Neutral
102,Acne Control Gel,Combination,3,I tried this Acne Control Gel for a few days and results are average.,2022-06-14,Neutral
103,Tea Tree Toner,Dry,2,The texture of this Tea Tree Toner felt heavy and uncomfortable.,2023-12-10,Negative
104,Sunscreen SPF50,Sensitive,5,I have been using this Sunscreen SPF50 for a few weeks and my skin feels smoother.,2023-01-08,Positive
105,Acne Control Gel,Normal,3,The Acne Control Gel works fine but nothing very noticeable yet.,2022-05-24,Neutral
106,Charcoal Face Wash,Sensitive,3,The Charcoal Face Wash feels decent but I expected more improvement.,2021-02-14,Neutral
107,Acne Control Gel,Oily,3,The Acne Control Gel feels decent but I expected more improvement.,2023-10-01,Neutral
108,Vitamin C Serum,Oily,5,This Vitamin C Serum feels lightweight and keeps my skin hydrated.,2022-05-24,Positive
109,Hydrating Face Cream,Dry,4,This Hydrating Face Cream feels lightweight and keeps my skin hydrated.,2023-07-26,Positive
110,Hydrating Face Cream,Normal,1,After using this Hydrating Face Cream my skin started feeling irritated.,2021-03-18,Negative
111,Retinol Night Cream,Dry,3,This Retinol Night Cream seems fine for daily use so far.,2021-08-18,Neutral
112,Hydrating Face Cream,Oily,4,This Hydrating Face Cream feels lightweight and keeps my skin hydrated.,2022-04-03,Positive
113,Tea Tree Toner,Oily,5,The texture of this Tea Tree Toner is nice and my skin looks healthier.,2022-10-10,Positive
114,Sunscreen SPF50,Sensitive,3,This Sunscreen SPF50 seems fine for daily use so far.,2023-04-24,Neutral
115,Retinol Night Cream,Oily,5,After regular use this Retinol Night Cream improved my skin condition.,2022-04-12,Positive
116,Charcoal Face Wash,Combination,5,I have been using this Charcoal Face Wash for a few weeks and my skin feels smoother.,2023-01-13,Positive
117,Charcoal Face Wash,Dry,4,The texture of this Charcoal Face Wash is nice and my skin looks healthier.,2022-02-15,Positive
118,Retinol Night Cream,Dry,5,This Retinol Night Cream works well for my Dry skin and absorbs quickly.,2022-08-28,Positive
119,Hydrating Face Cream,Normal,3,The Hydrating Face Cream works fine but nothing very noticeable yet.,2023-09-21,Neutral
120,Charcoal Face Wash,Oily,2,This Charcoal Face Wash did not work well for my Oily skin.,2021-10-18,Positive
121,Charcoal Face Wash,Oily,2,This Charcoal Face Wash did not work well for my Oily skin.,2022-10-06,Negative
122,Hydrating Face Cream,Oily,1,I expected better results from this Hydrating Face Cream.,2023-12-11,Negative
123,Niacinamide Serum,Oily,5,After regular use this Niacinamide Serum improved my skin condition.,2023-06-26,Positive
124,Acne Control Gel,Oily,4,The texture of this Acne Control Gel is nice and my skin looks healthier.,2021-09-11,Positive
125,Anti-Aging Eye Cream,Dry,5,The texture of this Anti-Aging Eye Cream is nice and my skin looks healthier.,2023-08-28,Positive
126,Sunscreen SPF50,Combination,3,The Sunscreen SPF50 feels decent but I expected more improvement.,2023-01-16,Neutral
127,Niacinamide Serum,Oily,3,The Niacinamide Serum works fine but nothing very noticeable yet.,2023-04-09,Neutral
128,Vitamin C Serum,Sensitive,4,I have been using this Vitamin C Serum for a few weeks and my skin feels smoother.,2021-05-09,Positive
129,Tea Tree Toner,Combination,4,The texture of this Tea Tree Toner is nice and my skin looks healthier.,2022-10-11,Positive
130,Retinol Night Cream,Combination,4,This Retinol Night Cream feels lightweight and keeps my skin hydrated.,2021-08-08,Positive
131,Niacinamide Serum,Sensitive,2,The texture of this Niacinamide Serum felt heavy and uncomfortable.,2023-10-08,Negative
132,Acne Control Gel,Sensitive,4,The texture of this Acne Control Gel is nice and my skin looks healthier.,2022-11-03,Positive
133,Aloe Vera Moisturizer,Sensitive,4,This Aloe Vera Moisturizer feels lightweight and keeps my skin hydrated.,2023-03-14,Positive
134,Acne Control Gel,Dry,3,This Acne Control Gel is okay but I am still unsure about the results.,2024-01-21,Neutral
135,Aloe Vera Moisturizer,Dry,1,After using this Aloe Vera Moisturizer my skin started feeling irritated.,2021-06-22,Negative
136,Sunscreen SPF50,Oily,3,The Sunscreen SPF50 feels decent but I expected more improvement.,2021-09-30,Neutral
137,Charcoal Face Wash,Sensitive,3,The Charcoal Face Wash works fine but nothing very noticeable yet.,2021-09-06,Neutral
138,Retinol Night Cream,Combination,5,The texture of this Retinol Night Cream is nice and my skin looks healthier.,2022-06-18,Positive
139,Sunscreen SPF50,Sensitive,4,This Sunscreen SPF50 works well for my Sensitive skin and absorbs quickly.,2024-03-30,Positive
140,Sunscreen SPF50,Combination,4,The texture of this Sunscreen SPF50 is nice and my skin looks healthier.,2022-04-19,Positive
141,Hydrating Face Cream,Sensitive,1,After using this Hydrating Face Cream my skin started feeling irritated.,2022-04-19,Negative
142,Niacinamide Serum,Combination,4,The texture of this Niacinamide Serum is nice and my skin looks healthier.,2022-01-24,Positive
143,Tea Tree Toner,Normal,5,I have been using this Tea Tree Toner for a few weeks and my skin feels smoother.,2021-12-31,Positive
144,Niacinamide Serum,Normal,4,I have been using this Niacinamide Serum for a few weeks and my skin feels smoother.,2022-12-18,Positive
145,Sunscreen SPF50,Oily,4,This Sunscreen SPF50 works well for my Oily skin and absorbs quickly.,2022-06-07,Positive
146,Vitamin C Serum,Normal,1,This Vitamin C Serum did not work well for my Normal skin.,2023-04-18,Negative
147,Aloe Vera Moisturizer,Dry,3,This Aloe Vera Moisturizer is okay but I am still unsure about the results.,2023-10-13,Neutral
148,Anti-Aging Eye Cream,Sensitive,5,I have been using this Anti-Aging Eye Cream for a few weeks and my skin feels smoother.,2021-11-13,Positive
149,Anti-Aging Eye Cream,Oily,3,The Anti-Aging Eye Cream feels decent but I expected more improvement.,2023-04-20,Neutral
150,Retinol Night Cream,Combination,3,This Retinol Night Cream is okay but I am still unsure about the results.,2024-03-06,Neutral
151,Aloe Vera Moisturizer,Sensitive,3,I tried this Aloe Vera Moisturizer for a few days and results are average.,2023-03-12,Neutral
152,Charcoal Face Wash,Dry,1,The texture of this Charcoal Face Wash felt heavy and uncomfortable.,2021-07-05,Negative
153,Charcoal Face Wash,Normal,1,The texture of this Charcoal Face Wash felt heavy and uncomfortable.,2021-04-16,Negative
154,Anti-Aging Eye Cream,Dry,3,The Anti-Aging Eye Cream feels decent but I expected more improvement.,2023-01-30,Neutral
155,Anti-Aging Eye Cream,Dry,4,The texture of this Anti-Aging Eye Cream is nice and my skin looks healthier.,2021-05-18,Positive
156,Hydrating Face Cream,Sensitive,3,The Hydrating Face Cream works fine but nothing very noticeable yet.,2021-03-31,Neutral
157,Niacinamide Serum,Combination,4,After regular use this Niacinamide Serum improved my skin condition.,2021-11-25,Positive
158,Sunscreen SPF50,Normal,3,The Sunscreen SPF50 works fine but nothing very noticeable yet.,2022-01-10,Neutral
159,Tea Tree Toner,Dry,4,This Tea Tree Toner feels lightweight and keeps my skin hydrated.,2021-09-10,Positive
160,Acne Control Gel,Dry,1,This Acne Control Gel did not work well for my Dry skin.,2021-03-20,Negative
161,Aloe Vera Moisturizer,Oily,5,After regular use this Aloe Vera Moisturizer improved my skin condition.,2022-09-24,Positive
162,Tea Tree Toner,Dry,3,I tried this Tea Tree Toner for a few days and results are average.,2023-06-17,Neutral
163,Acne Control Gel,Oily,5,After regular use this Acne Control Gel improved my skin condition.,2023-07-28,Positive
164,Acne Control Gel,Sensitive,3,This Acne Control Gel is okay but I am still unsure about the results.,2023-06-01,Neutral
165,Aloe Vera Moisturizer,Oily,1,My skin reacted badly after trying this Aloe Vera Moisturizer.,2021-06-18,Positive
166,Aloe Vera Moisturizer,Normal,5,This Aloe Vera Moisturizer feels lightweight and keeps my skin hydrated.,2021-10-06,Positive
167,Vitamin C Serum,Oily,1,After using this Vitamin C Serum my skin started feeling irritated.,2023-10-05,Negative
168,Retinol Night Cream,Dry,3,The Retinol Night Cream works fine but nothing very noticeable yet.,2022-06-01,Neutral
169,Acne Control Gel,Combination,2,I expected better results from this Acne Control Gel.,2023-10-26,Negative
170,Niacinamide Serum,Dry,3,This Niacinamide Serum seems fine for daily use so far.,2022-10-16,Neutral
171,Aloe Vera Moisturizer,Oily,4,After regular use this Aloe Vera Moisturizer improved my skin condition.,2022-07-24,Positive
172,Aloe Vera Moisturizer,Sensitive,4,The texture of this Aloe Vera Moisturizer is nice and my skin looks healthier.,2021-04-10,Positive
173,Aloe Vera Moisturizer,Sensitive,3,This Aloe Vera Moisturizer seems fine for daily use so far.,2021-08-03,Neutral
174,Retinol Night Cream,Normal,3,The Retinol Night Cream feels decent but I expected more improvement.,2023-01-31,Neutral
175,Retinol Night Cream,Sensitive,1,My skin reacted badly after trying this Retinol Night Cream.,2021-06-16,Negative
176,Niacinamide Serum,Dry,5,I have been using this Niacinamide Serum for a few weeks and my skin feels smoother.,2022-06-04,Positive
177,Retinol Night Cream,Normal,1,I expected better results from this Retinol Night Cream.,2022-03-30,Negative
178,Acne Control Gel,Combination,3,The Acne Control Gel feels decent but I expected more improvement.,2023-01-16,Neutral
179,Vitamin C Serum,Dry,3,This Vitamin C Serum seems fine for daily use so far.,2021-02-15,Neutral
180,Vitamin C Serum,Oily,3,I tried this Vitamin C Serum for a few days and results are average.,2023-01-02,Neutral
181,Anti-Aging Eye Cream,Dry,3,I tried this Anti-Aging Eye Cream for a few days and results are average.,2022-02-23,Neutral
182,Aloe Vera Moisturizer,Normal,1,This Aloe Vera Moisturizer did not work well for my Normal skin.,2021-11-02,Positive
183,Niacinamide Serum,Oily,5,This Niacinamide Serum works well for my Oily skin and absorbs quickly.,2022-06-26,Positive
184,Vitamin C Serum,Oily,3,This Vitamin C Serum seems fine for daily use so far.,2024-03-30,Neutral
185,Niacinamide Serum,Normal,1,The texture of this Niacinamide Serum felt heavy and uncomfortable.,2021-01-01,Negative
186,Vitamin C Serum,Oily,3,The Vitamin C Serum feels decent but I expected more improvement.,2021-11-23,Neutral
187,Vitamin C Serum,Oily,4,This Vitamin C Serum feels lightweight and keeps my skin hydrated.,2022-02-13,Positive
188,Anti-Aging Eye Cream,Normal,3,The Anti-Aging Eye Cream feels decent but I expected more improvement.,2021-12-24,Neutral
189,Anti-Aging Eye Cream,Combination,5,I have been using this Anti-Aging Eye Cream for a few weeks and my skin feels smoother.,2021-01-14,Positive
190,Charcoal Face Wash,Sensitive,1,The texture of this Charcoal Face Wash felt heavy and uncomfortable.,2023-07-16,Negative
191,Acne Control Gel,Dry,1,I expected better results from this Acne Control Gel.,2021-09-10,Negative
192,Aloe Vera Moisturizer,Combination,2,I expected better results from this Aloe Vera Moisturizer.,2023-12-08,Negative
193,Retinol Night Cream,Combination,3,The Retinol Night Cream works fine but nothing very noticeable yet.,2023-11-06,Neutral
194,Vitamin C Serum,Dry,4,This Vitamin C Serum works well for my Dry skin and absorbs quickly.,2022-11-01,Positive
195,Sunscreen SPF50,Sensitive,5,This Sunscreen SPF50 works well for my Sensitive skin and absorbs quickly.,2024-01-04,Positive
196,Niacinamide Serum,Sensitive,1,After using this Niacinamide Serum my skin started feeling irritated.,2022-04-24,Negative
197,Tea Tree Toner,Combination,1,The texture of this Tea Tree Toner felt heavy and uncomfortable.,2021-12-18,Negative
198,Acne Control Gel,Oily,4,I have been using this Acne Control Gel for a few weeks and my skin feels smoother.,2021-10-18,Positive
199,Vitamin C Serum,Oily,4,I have been using this Vitamin C Serum for a few weeks and my skin feels smoother.,2021-05-15,Positive
200,Tea Tree Toner,Combination,4,This Tea Tree Toner feels lightweight and keeps my skin hydrated.,2023-02-26,Positive
201,Hydrating Face Cream,Dry,4,I have been using this Hydrating Face Cream for a few weeks and my skin feels smoother.,2021-06-29,Negative
202,Retinol Night Cream,Sensitive,4,I have been using this Retinol Night Cream for a few weeks and my skin feels smoother.,2022-11-21,Positive
203,Charcoal Face Wash,Combination,5,The texture of this Charcoal Face Wash is nice and my skin looks healthier.,2022-10-20,Neutral
204,Tea Tree Toner,Normal,3,I tried this Tea Tree Toner for a few days and results are average.,2021-03-05,Neutral
205,Charcoal Face Wash,Oily,3,This Charcoal Face Wash is okay but I am still unsure about the results.,2021-04-09,Neutral
206,Anti-Aging Eye Cream,Normal,5,I have been using this Anti-Aging Eye Cream for a few weeks and my skin feels smoother.,2021-01-03,Positive
207,Anti-Aging Eye Cream,Dry,4,I have been using this Anti-Aging Eye Cream for a few weeks and my skin feels smoother.,2021-07-15,Positive
208,Niacinamide Serum,Dry,2,My skin reacted badly after trying this Niacinamide Serum.,2023-11-22,Negative
209,Retinol Night Cream,Normal,1,I expected better results from this Retinol Night Cream.,2022-04-20,Negative
210,Niacinamide Serum,Dry,5,I have been using this Niacinamide Serum for a few weeks and my skin feels smoother.,2024-02-24,Positive
211,Hydrating Face Cream,Combination,5,After regular use this Hydrating Face Cream improved my skin condition.,2021-06-26,Positive
212,Charcoal Face Wash,Oily,5,The texture of this Charcoal Face Wash is nice and my skin looks healthier.,2024-01-22,Positive
213,Anti-Aging Eye Cream,Dry,5,This Anti-Aging Eye Cream works well for my Dry skin and absorbs quickly.,2021-03-11,Positive
214,Aloe Vera Moisturizer,Normal,5,This Aloe Vera Moisturizer works well for my Normal skin and absorbs quickly.,2022-10-25,Positive
215,Acne Control Gel,Sensitive,3,I tried this Acne Control Gel for a few days and results are average.,2021-09-16,Neutral
216,Aloe Vera Moisturizer,Sensitive,3,The Aloe Vera Moisturizer works fine but nothing very noticeable yet.,2022-07-02,Neutral
217,Retinol Night Cream,Normal,4,This Retinol Night Cream works well for my Normal skin and absorbs quickly.,2023-12-06,Positive
218,Aloe Vera Moisturizer,Dry,5,This Aloe Vera Moisturizer works well for my Dry skin and absorbs quickly.,2021-07-28,Positive
219,Acne Control Gel,Oily,4,This Acne Control Gel works well for my Oily skin and absorbs quickly.,2022-09-02,Positive
220,Charcoal Face Wash,Combination,5,I have been using this Charcoal Face Wash for a few weeks and my skin feels smoother.,2023-03-07,Positive
221,Niacinamide Serum,Oily,4,After regular use this Niacinamide Serum improved my skin condition.,2022-08-30,Positive
222,Niacinamide Serum,Oily,5,This Niacinamide Serum feels lightweight and keeps my skin hydrated.,2023-05-31,Positive
223,Tea Tree Toner,Normal,1,The texture of this Tea Tree Toner felt heavy and uncomfortable.,2024-04-10,Negative
224,Sunscreen SPF50,Dry,3,The Sunscreen SPF50 feels decent but I expected more improvement.,2022-06-17,Neutral
225,Hydrating Face Cream,Sensitive,4,After regular use this Hydrating Face Cream improved my skin condition.,2023-05-18,Positive
226,Niacinamide Serum,Sensitive,4,After regular use this Niacinamide Serum improved my skin condition.,2022-11-03,Positive
227,Vitamin C Serum,Sensitive,1,After using this Vitamin C Serum my skin started feeling irritated.,2022-03-23,Negative
228,Acne Control Gel,Dry,3,This Acne Control Gel is okay but I am still unsure about the results.,2023-07-25,Neutral
229,Anti-Aging Eye Cream,Dry,1,My skin reacted badly after trying this Anti-Aging Eye Cream.,2023-01-28,Negative
230,Anti-Aging Eye Cream,Combination,3,The Anti-Aging Eye Cream feels decent but I expected more improvement.,2022-01-12,Neutral
231,Charcoal Face Wash,Normal,2,After using this Charcoal Face Wash my skin started feeling irritated.,2022-06-02,Negative
232,Retinol Night Cream,Sensitive,4,I have been using this Retinol Night Cream for a few weeks and my skin feels smoother.,2023-05-12,Positive
233,Aloe Vera Moisturizer,Normal,5,This Aloe Vera Moisturizer works well for my Normal skin and absorbs quickly.,2023-12-16,Positive
234,Sunscreen SPF50,Sensitive,3,The Sunscreen SPF50 works fine but nothing very noticeable yet.,2021-05-22,Neutral
235,Sunscreen SPF50,Sensitive,3,The Sunscreen SPF50 works fine but nothing very noticeable yet.,2021-10-27,Neutral
236,Aloe Vera Moisturizer,Sensitive,3,I tried this Aloe Vera Moisturizer for a few days and results are average.,2021-09-14,Neutral
237,Niacinamide Serum,Combination,2,This Niacinamide Serum did not work well for my Combination skin.,2022-06-04,Negative
238,Charcoal Face Wash,Dry,3,I tried this Charcoal Face Wash for a few days and results are average.,2022-09-11,Neutral
239,Aloe Vera Moisturizer,Sensitive,3,This Aloe Vera Moisturizer seems fine for daily use so far.,2023-01-13,Neutral
240,Acne Control Gel,Combination,1,After using this Acne Control Gel my skin started feeling irritated.,2022-10-27,Negative
241,Acne Control Gel,Normal,1,My skin reacted badly after trying this Acne Control Gel.,2022-03-06,Negative
